id,name,type,location,criticality,owner,description,ip_address,os,software,processes,dependencies
IT-00001,Serveur de Bases de Données - New York,Serveur de Bases de Données,"New York, États-Unis",medium,Direction RH,Serveur de Bases de Données hébergeant des applications critiques pour Suivi des Cargaisons. Stocke les données des cargaisons. Capacité: 1 To.,192.168.185.159,N/A,Oracle Database 19c,"Communication Interne, Planification des Itinéraires",
IT-00002,Serveur Applicatif - Dubaï,Serveur Applicatif,"Dubaï, Émirats Arabes Unis",critical,Direction RH,Serveur Applicatif hébergeant des applications critiques pour Gestion des Équipages. Exécute Docker.,192.168.233.245,N/A,Docker,Douanes et Réglementations,IT-00001
IT-00003,Imprimante Réseau - Singapour,Imprimante Réseau,"Singapour, Singapour",medium,Direction RH,Imprimante Réseau utilisé pour Communication Interne.,192.168.16.137,N/A,N/A,"Communication Interne, Ressources Humaines",IT-00002
IT-00004,Switch - Yokohama,Switch,"Yokohama, Japon",low,Direction RH,Switch assurant la connectivité du réseau. Modèle: Cisco Catalyst 9000.,192.168.178.143,Cisco Catalyst 9000,Cisco Catalyst 9000,Gestion des Clients,
IT-00005,Pare-feu - Santos,Pare-feu,"Santos, Brésil",medium,Direction Logistique,Pare-feu assurant la connectivité du réseau. Modèle: FortiGate 2000E.,192.168.91.119,FortiOS 7.4,FortiGate 2000E,Finance et Comptabilité,IT-00001
IT-00006,Terminal d'Impression - Marseille,Terminal d'Impression,"Marseille, France",high,Direction IT,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.22.11,N/A,Firmware Xerox v5.2,Communication Interne,
IT-00007,Imprimante Réseau - Dubaï,Imprimante Réseau,"Dubaï, Émirats Arabes Unis",medium,Direction RH,Imprimante Réseau utilisé pour Gestion des Stocks.,192.168.169.11,N/A,N/A,Maintenance des Navires,"IT-00004, IT-00003"
IT-00008,Équipement Réseau - Brême,Équipement Réseau,"Brême, Allemagne",high,Direction Logistique,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.171.169,FortiOS 7.4,Cisco IOS,"Douanes et Réglementations, Analyse des Risques, Gestion des Clients","IT-00002, IT-00003"
IT-00009,Poste de Travail Portable - Dubaï,Poste de Travail Portable,"Dubaï, Émirats Arabes Unis",high,Direction Logistique,Poste de Travail Portable utilisé pour Douanes et Réglementations. Configuré avec Microsoft Office 365.,192.168.215.157,Windows 11 Entreprise,Microsoft Office 365,"Gestion des Équipages, Sécurité et Conformité","IT-00001, IT-00007, IT-00005"
IT-00010,Serveur Web - Hambourg,Serveur Web,"Hambourg, Allemagne",low,Direction Opérations,Serveur Web utilisé pour Gestion des Flottes.,192.168.20.135,N/A,Nginx,"Sécurité et Conformité, Communication Interne",IT-00004
IT-00011,Serveur de Fichiers - Rio de Janeiro,Serveur de Fichiers,"Rio de Janeiro, Brésil",high,Direction Opérations,Serveur de Fichiers utilisé pour Approvisionnement.,192.168.241.112,N/A,Samba,"Maintenance des Navires, Sécurité et Conformité","IT-00008, IT-00003, IT-00004"
IT-00012,Poste de Travail Portable - Tokyo,Poste de Travail Portable,"Tokyo, Japon",medium,Direction RH,Poste de Travail Portable utilisé pour Sécurité et Conformité. Configuré avec Microsoft Office 365.,192.168.143.6,Windows 11 Entreprise,Microsoft Office 365,Sécurité et Conformité,
IT-00013,Routeur - Dubaï,Routeur,"Dubaï, Émirats Arabes Unis",high,Direction Logistique,Routeur assurant la connectivité du réseau. Modèle: Cisco 4000 Series.,192.168.62.131,Cisco IOS,Cisco 4000 Series,"Gestion des Clients, Analyse des Risques","IT-00012, IT-00002"
IT-00014,Douchette de Lecture - Singapour,Douchette de Lecture,"Singapour, Singapour",low,Direction IT,Douchette pour la lecture des codes-barres. Modèle: Honeywell Voyager 1450g.,N/A,N/A,Honeywell Voyager 1450g,"Suivi des Cargaisons, Finance et Comptabilité",
IT-00015,Serveur Applicatif - Brême,Serveur Applicatif,"Brême, Allemagne",critical,Direction IT,Serveur Applicatif hébergeant des applications critiques pour Gestion des Équipages. Exécute Docker.,192.168.116.107,N/A,Docker,"Approvisionnement, Communication Interne","IT-00004, IT-00011"
IT-00016,Équipement Réseau - Amsterdam,Équipement Réseau,"Amsterdam, Pays-Bas",high,Direction Financière,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.162.159,Cisco IOS,Cisco IOS,Analyse des Risques,"IT-00005, IT-00004, IT-00013"
IT-00017,Station de Travail - Le Havre,Station de Travail,"Le Havre, France",low,Direction Financière,Station de Travail utilisé pour Planification des Itinéraires.,192.168.96.141,N/A,N/A,"Sécurité et Conformité, Finance et Comptabilité, Communication Interne",IT-00011
IT-00018,Imprimante Réseau - Rio de Janeiro,Imprimante Réseau,"Rio de Janeiro, Brésil",medium,Direction Financière,Imprimante Réseau utilisé pour Gestion des Clients.,192.168.78.254,N/A,N/A,"Suivi des Cargaisons, Gestion des Réservations, Ressources Humaines","IT-00005, IT-00006, IT-00017"
IT-00019,Station de Travail - Yokohama,Station de Travail,"Yokohama, Japon",low,Direction Opérations,Station de Travail utilisé pour Gestion des Réservations.,192.168.244.219,N/A,N/A,Douanes et Réglementations,
IT-00020,Portique Numérique - Tokyo,Portique Numérique,"Tokyo, Japon",high,Direction RH,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.62.128,Embedded Linux,Système de Contrôle Kalmar,"Ressources Humaines, Sécurité et Conformité",IT-00015
IT-00021,Imprimante Réseau - New York,Imprimante Réseau,"New York, États-Unis",high,Direction Financière,Imprimante Réseau utilisé pour Gestion des Réservations.,192.168.136.248,N/A,N/A,"Planification des Itinéraires, Gestion des Réservations, Gestion des Stocks","IT-00020, IT-00001"
IT-00022,Terminal d'Impression - Brême,Terminal d'Impression,"Brême, Allemagne",medium,Direction Logistique,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.12.49,N/A,Firmware Xerox v5.2,"Approvisionnement, Communication Interne, Gestion des Clients",IT-00008
IT-00023,Poste de Travail Portable - Yokohama,Poste de Travail Portable,"Yokohama, Japon",critical,Direction Financière,Poste de Travail Portable utilisé pour Douanes et Réglementations. Configuré avec Microsoft Office 365.,192.168.225.91,Windows 11 Entreprise,Microsoft Office 365,"Gestion des Équipages, Sécurité et Conformité, Gestion des Flottes",
IT-00024,Serveur - Amsterdam,Serveur,"Amsterdam, Pays-Bas",low,Direction RH,Serveur hébergeant des applications critiques pour Planification des Itinéraires. Exécute Oracle Database.,192.168.116.12,Linux (Ubuntu 20.04),SAP ERP,"Approvisionnement, Gestion des Clients",IT-00013
IT-00025,Switch - Ningbo,Switch,"Ningbo, Chine",critical,Direction RH,Switch assurant la connectivité du réseau. Modèle: Cisco Catalyst 9000.,192.168.175.182,Cisco Catalyst 9000,Cisco Catalyst 9000,"Maintenance des Navires, Finance et Comptabilité, Douanes et Réglementations",
IT-00026,Terminal d'Impression - Yokohama,Terminal d'Impression,"Yokohama, Japon",medium,Direction IT,Imprimante pour l'impression des documents. Modèle: Firmware Xerox v5.2.,192.168.59.199,N/A,Firmware Xerox v5.2,"Sécurité et Conformité, Communication Interne, Gestion des Équipages",
IT-00027,Serveur Web - Brême,Serveur Web,"Brême, Allemagne",high,Direction IT,Serveur Web utilisé pour Finance et Comptabilité.,192.168.194.248,N/A,Nginx,"Gestion des Stocks, Gestion des Réservations, Analyse des Risques",
IT-00028,Station de Travail - Dunkerque,Station de Travail,"Dunkerque, France",low,Direction IT,Station de Travail utilisé pour Communication Interne.,192.168.189.48,N/A,N/A,"Gestion des Réservations, Douanes et Réglementations",IT-00001
IT-00029,Poste de Travail Portable - Dunkerque,Poste de Travail Portable,"Dunkerque, France",critical,Direction Financière,Poste de Travail Portable utilisé pour Communication Interne. Configuré avec Microsoft Office 365.,192.168.241.211,Windows 11 Entreprise,Microsoft Office 365,Gestion des Réservations,IT-00014
IT-00030,Serveur - Ningbo,Serveur,"Ningbo, Chine",critical,Direction IT,Serveur hébergeant des applications critiques pour Maintenance des Navires. Exécute SAP ERP.,192.168.113.193,Linux (Ubuntu 20.04),PostgreSQL,"Douanes et Réglementations, Gestion des Équipages",
IT-00031,Serveur - Tokyo,Serveur,"Tokyo, Japon",low,Direction Financière,Serveur hébergeant des applications critiques pour Finance et Comptabilité. Exécute SAP ERP.,192.168.37.142,Windows Server 2022,SAP ERP,"Analyse des Risques, Sécurité et Conformité, Douanes et Réglementations","IT-00022, IT-00015"
IT-00032,Portique Numérique - Singapour,Portique Numérique,"Singapour, Singapour",critical,Direction Logistique,Portique numérique pour le chargement/déchargement des conteneurs. Équipé de Système de Contrôle Kalmar.,192.168.228.129,Embedded Linux,Système de Contrôle Kalmar,"Maintenance des Navires, Douanes et Réglementations",
IT-00033,Serveur Web - Santos,Serveur Web,"Santos, Brésil",low,Direction RH,Serveur Web utilisé pour Maintenance des Navires.,192.168.69.110,N/A,Nginx,Douanes et Réglementations,"IT-00001, IT-00005"
IT-00034,Serveur - Amsterdam,Serveur,"Amsterdam, Pays-Bas",high,Direction Logistique,Serveur hébergeant des applications critiques pour Gestion des Stocks. Exécute PostgreSQL.,192.168.189.68,Windows Server 2022,Oracle Database,"Communication Interne, Gestion des Réservations","IT-00021, IT-00002"
IT-00035,Équipement Réseau - Ningbo,Équipement Réseau,"Ningbo, Chine",low,Direction IT,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.208.6,Cisco IOS,Cisco IOS,Gestion des Réservations,IT-00016
IT-00036,Équipement Réseau - Amsterdam,Équipement Réseau,"Amsterdam, Pays-Bas",critical,Direction IT,Équipement Réseau assurant la connectivité du réseau. Modèle: Cisco IOS.,192.168.23.113,Cisco IOS,Cisco IOS,"Douanes et Réglementations, Gestion des Réservations, Gestion des Stocks",
